BaseURL,LoginURL,EmailField,PasswordField,SubmitLogin,EmailLogin,PasswordLogin,EditAccountLink,FirstName,LastName,EmailEdit,Telephone,SubmitEdit,Expected
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,,ValidLast,jd92k3wq@example.com,012345678, input[type='submit'],First Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,A,ValidLast,jd92k3wq@example.com,012345678, input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,AA,ValidLast,jd92k3wq@example.com,012345678, input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ValidLast,jd92k3wq@example.com,012345678, input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ValidLast,jd92k3wq@example.com,012345678, input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ValidLast,jd92k3wq@example.com,012345678, input[type='submit'],First Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,,jd92k3wq@example.com,012345678,input[type='submit'],Last Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,A,jd92k3wq@example.com,012345678,input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,AA,jd92k3wq@example.com,012345678,input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,jd92k3wq@example.com,012345678,input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,jd92k3wq@example.com,012345678,input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,jd92k3wq@example.com,012345678,input[type='submit'],Last Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,ValidLast,,012345678,input[type='submit'],E-Mail Address does not appear to be valid!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,ValidLast,jd92k3wq@example.com,,input[type='submit'],Telephone must be between 3 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,ValidLast,jd92k3wq@example.com,1,input[type='submit'],Telephone must be between 3 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,ValidLast,jd92k3wq@example.com,11,input[type='submit'],Telephone must be between 3 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,ValidLast,jd92k3wq@example.com,111,input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,ValidLast,jd92k3wq@example.com,1111111111111111111111111111111,input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,ValidLast,jd92k3wq@example.com,11111111111111111111111111111111,input[type='submit'],Success: Your account has been successfully updated.
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],bangdeptrai13579@gmail.com,123456789,Edit Account,ValidFirst,ValidLast,jd92k3wq@example.com,111111111111111111111111111111111,input[type='submit'],Telephone must be between 3 and 32 characters!
