URL,FirstNameSelector,LastNameSelector,EmailSelector,TelephoneSelector,SubmitSelector,ErrorSelector,AlertSelector,FirstName,LastName,Email,Telephone,Expected1,Expected2
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,, ,jd92k3wq@example.com,012345678,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,jd92k3wq@example.com,012345678,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,,Doe,,012345678,First Name must be between 1 and 32 characters!,E-Mail Address does not appear to be valid!
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,,Doe,jd92k3wq@example.com,111111111111111111111111111111111,First Name must be between 1 and 32 characters!,Telephone must be between 3 and 32 characters!
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,,Doe,jd92k3wq@example.com,1,First Name must be between 1 and 32 characters!,Telephone must be between 3 and 32 characters!
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,John,,,012345678,Last Name must be between 1 and 32 characters!,E-Mail Address does not appear to be valid!
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,John,,jd92k3wq@example.com,111111111111111111111111111111111,Last Name must be between 1 and 32 characters!,Telephone must be between 3 and 32 characters!
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,John,,jd92k3wq@example.com,1,Last Name must be between 1 and 32 characters!,Telephone must be between 3 and 32 characters!
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,John,Doe,,111111111111111111111111111111111,E-Mail Address does not appear to be valid!,Telephone must be between 3 and 32 characters!
https://ecommerce-playground.lambdatest.io/index.php?route=account/edit,#input-firstname,#input-lastname,#input-email,#input-telephone,input[type='submit'],.text-danger,.alert-danger,John,Doe,,1,E-Mail Address does not appear to be valid!,Telephone must be between 3 and 32 characters!
