BaseURL,LoginURL,EmailField,PasswordField,SubmitLogin,Email,Password,AddressBookURL,FirstName,LastName,Address1,City,PostCode,Country,Region/State,Expected
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,J,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,Jo,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,D,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Do,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doeeeeeeeeeeeeeeeeeeeeeeeeeeeee,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,Ne,Hanoi,70000,Viet Nam,Ha Noi,Address must be between 3 and 128 characters!
